2021-04-25 10:26:01,973 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 10:26:02,047 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 61 ms.
2021-04-25 10:26:02,367 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_0_, customeren0_.BIRTHDATE as BIRTHDATE0_0_, customeren0_.EMAIL as EMAIL0_0_, customeren0_.NAME as NAME0_0_, customeren0_.PWD as PWD0_0_, customeren0_.SURNAME as SURNAME0_0_, customeren0_.TEL as TEL0_0_ from CUSTOMER customeren0_ where customeren0_.ID=?
2021-04-25 10:26:02,511 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_0_, customeren0_.BIRTHDATE as BIRTHDATE0_0_, customeren0_.EMAIL as EMAIL0_0_, customeren0_.NAME as NAME0_0_, customeren0_.PWD as PWD0_0_, customeren0_.SURNAME as SURNAME0_0_, customeren0_.TEL as TEL0_0_ from CUSTOMER customeren0_ where customeren0_.ID=?
2021-04-25 10:26:03,120 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_, customeren0_.BIRTHDATE as BIRTHDATE0_, customeren0_.EMAIL as EMAIL0_, customeren0_.NAME as NAME0_, customeren0_.PWD as PWD0_, customeren0_.SURNAME as SURNAME0_, customeren0_.TEL as TEL0_ from CUSTOMER customeren0_
2021-04-25 10:26:03,265 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_0_, customeren0_.BIRTHDATE as BIRTHDATE0_0_, customeren0_.EMAIL as EMAIL0_0_, customeren0_.NAME as NAME0_0_, customeren0_.PWD as PWD0_0_, customeren0_.SURNAME as SURNAME0_0_, customeren0_.TEL as TEL0_0_ from CUSTOMER customeren0_ where customeren0_.ID=?
2021-04-25 10:26:03,274 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_0_, customeren0_.BIRTHDATE as BIRTHDATE0_0_, customeren0_.EMAIL as EMAIL0_0_, customeren0_.NAME as NAME0_0_, customeren0_.PWD as PWD0_0_, customeren0_.SURNAME as SURNAME0_0_, customeren0_.TEL as TEL0_0_ from CUSTOMER customeren0_ where customeren0_.ID=?
2021-04-25 10:26:03,372 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | call next value for SEQ_CUSTOMER
2021-04-25 10:26:03,418 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | call next value for SEQ_CUSTOMER
2021-04-25 10:26:03,449 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select customeren0_.ID as ID0_0_, customeren0_.BIRTHDATE as BIRTHDATE0_0_, customeren0_.EMAIL as EMAIL0_0_, customeren0_.NAME as NAME0_0_, customeren0_.PWD as PWD0_0_, customeren0_.SURNAME as SURNAME0_0_, customeren0_.TEL as TEL0_0_ from CUSTOMER customeren0_ where customeren0_.ID=?
2021-04-25 21:22:12,630 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:22:12,722 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 74 ms.
2021-04-25 21:22:13,212 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:22:13,792 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 21:22:13,870 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
